Column,Name of Column,Test question,Data Type,Data Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Patient:AgeAtSurgery,A - is there a significant difference in the mean average age between the two groups,Continuous,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,Patient:GenderCode,B - is there a significant difference in the two genders between the two groups,Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,PathwayDetails:CeIndication,"C - is there a significant difference in patients having surgery for reason 1,2,3,4 or 5 between the two groups (ie 5 different statistical tests) ",Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,Indications:IndicationSideCode,"E - is there a significant difference in side of surgery, 1,2 or 3, between the two groups",Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Indications:CeStenosisIpsilCode,"F- is there a significant difference in ipsilateral degree of stenosis in the artery, 1,2,3,4,5, between the two groups",Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,Indications:CeStenosisContraCode,"G - is there a significant difference in contralateral degree of stenosis in the artery, 0,1,2,3,4,5,6 between the two groups",Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H,Indications:PrevIpsilInd,H - is there a significant difference in previous ipsilateral surgery (Y/N) between the two groups ,Binary,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Indications:PrevContraInd,I - is there a significant difference in previous contralateral surgery (Y/N) between the two groups,Binary,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J,RiskScores:Comorbidities,J - is there a significant difference in each of the comorbidities (1-9) between the two patient groups ,Binary,Multiple Scores in row (yellow),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K,RiskScores:SmokingStatus,"K - is there a significant difference in smoking status (1,2,3) between the two patient groups ",Binary,One-Hot Encoding (orange),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L,RiskScores:Creatinine,L - is there a significant difference in the mean average creatinine between the two patient groups,Continuous,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,RiskScores:ASA,M - is there a significant difference in the mean average ASA score between the two patient groups,Continuous,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N,RiskScores:AtrialFibrillation,N- is there a significant difference in AF (Y/N) between the two patient groups,Binary,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
O,RiskScores:PreoperativeRankinScore,O- Two patient groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
